#boots	id	seq	opened_by	opened_at	opened_offset	bytes	closed_at
boot	566	566	session	1786907015408	5244519	0	1786907141061
boot	567	567	power	1786907141061	5244519	0	1786907141635
boot	568	568	session	1786907141635	5244519	2743	1786907183551
boot	569	569	mark	1786907183551	5247280	0	1786907200884
boot	570	570	power	1786907200884	5247280	20624	1786908096831
#lines	id	boot_id	ts_wall	stream_offset	terminator	text
line	112157	570	1786907184238	5247384	crlf	© ^R^R$$HHœ48 - bl_sec_segs_hash_verify_timestamp
line	112158	570	1786907184238	5247434	crlf	D -        33 - pbl_populate_shared_data_and_exit_timestamp
line	112159	570	1786907184238	5247495	crlf	S -    120856 - PBL, End
line	112160	570	1786907184238	5247521	crlf	B -    135094 - SBL1, Start (MPM timestamp = 139995)
line	112161	570	1786907184238	5247575	crlf	B -    248309 - SBL1 BUILD @ 23:11:42 on Apr  2 2026
line	112162	570	1786907184238	5247629	crlf	B -    253642 - usb: hs_phy_nondrive_start
line	112163	570	1786907184238	5247673	crlf	B -    258018 - usb: hs_phy_nondrive_finish
line	112164	570	1786907184238	5247718	crlf	D -      8528 - sbl1_hw_init
line	112165	570	1786907184238	5247748	crlf	D -        15 - boot_flash_init
line	112166	570	1786907184284	5247783	crlf	B -    291707 - SHRM Image Loaded, Start
line	112167	570	1786907184334	5247827	crlf	D -        36 - SHRM Image Loaded, Delta - (0 Bytes)
line	112168	570	1786907184334	5247881	crlf	B -    298085 - Using boot chain :: Primary
line	112169	570	1786907184334	5247926	crlf	D -      4694 - sbl1_update_partition_ids
line	112170	570	1786907184334	5247969	crlf	D -      1209 - Auth Metadata
line	112171	570	1786907184334	5248000	crlf	D -      7888 - sbl1_xblconfig_init
line	112172	570	1786907184334	5248037	crlf	D -       440 - sbl1_feature_config_init
line	112173	570	1786907184334	5248079	crlf	D -         3 - boot_config_data_table_default_init
line	112174	570	1786907184334	5248132	crlf	D -        17 - sbl1_ddr_set_default_params
line	112175	570	1786907184334	5248177	crlf	D -      4135 - boot_config_data_table_init
line	112176	570	1786907184334	5248222	crlf	B -    327598 - CDT Version:3,Platform ID:32,Major ID:1,Minor ID:0,Subtype:1
line	112177	570	1786907184334	5248300	crlf	D -      9482 - sbl1_hw_platform_pre_ddr
line	112178	570	1786907184334	5248342	crlf	D -      5128 - devcfg init
line	112179	570	1786907184405	5248373	crlf	B -    405504 - PM: PSI: b0x00_v0x14
line	112180	570	1786907184445	5248413	crlf	B -    409046 - PM: Device Init # SPMI Transn: 4094
line	112181	570	1786907184445	5248466	crlf	B -    412250 - PM: Driver Init # SPMI Transn: 237
line	112182	570	1786907184445	5248518	crlf	B -    413717 - PM: CHG Init # SPMI Transn: 4335
line	112183	570	1786907184445	5248568	crlf	D -     74758 - pmic XBL init
line	112184	570	1786907184445	5248599	crlf	D -     10407 - vsense_railway_cpr init
line	112185	570	1786907184445	5248640	crlf	D -     94846 - sbl1_hw_pre_ddr_init
line	112186	570	1786907184485	5248680	crlf	D -         3 - boot_dload_handle_forced_dload_timeout
line	112187	570	1786907184485	5248736	crlf	D -      2728 - sbl1_load_ddr_training_data
line	112188	570	1786907184485	5248781	crlf	D -      4975 - sbl1_ddr_set_params
line	112189	570	1786907184485	5248818	crlf	B -    451967 - DSF version = 20.0, DSF RPM version = 11.0
line	112190	570	1786907184526	5248880	crlf	B -    452005 - Manufacturer ID = 255, Device Type = 7
line	112191	570	1786907184526	5248936	crlf	B -    457226 - Rank 0 size = 2048 MB, Rank 1 size = 0 MB
line	112192	570	1786907184526	5248995	crlf	B -    462099 - Max Frequency = 1804 MHz
line	112193	570	1786907184526	5249037	crlf	B -    467237 - Row Hammer Check : DRAM supports unlimited MAC Value : MR24[OP2:0 = 0] & MR24[OP3 = 1] for CH0 & CS0
line	112194	570	1786907184526	5249155	crlf	D -     27914 - sbl1_ddr_init
line	112195	570	1786907184526	5249186	crlf	B -    481149 - do_ddr_training, Start
