#boots	id	seq	opened_by	opened_at	opened_offset	bytes	closed_at
boot	542	542	power	1786905439697	5024887	0	1786905441440
boot	543	543	session	1786905441440	5024889	2743	1786905495560
boot	544	544	session	1786905495560	5027652	17355	1786905553677
boot	545	545	session	1786905553677	5045118	0	1786905567256
boot	546	546	power	1786905567256	5027650	0	1786905579210
boot	547	547	power	1786905579210	5045118	19801	1786905816536
#lines	id	boot_id	ts_wall	stream_offset	terminator	text
line	106917	544	1786905522351	5027794	crlf	D -       848 - bl_sec_segs_hash_verify_timestamp
line	106918	544	1786905522351	5027845	crlf	D -        33 - pbl_populate_shared_data_and_exit_timestamp
line	106919	544	1786905522351	5027906	crlf	S -    120868 - PBL, End
line	106920	544	1786905522351	5027932	crlf	B -    135105 - SBL1, Start (MPM timestamp = 140025)
line	106921	544	1786905522351	5027986	crlf	B -    248321 - SBL1 BUILD @ 23:11:42 on Apr  2 2026
line	106922	544	1786905522351	5028040	crlf	B -    253652 - usb: hs_phy_nondrive_start
line	106923	544	1786905522351	5028084	crlf	B -    258018 - usb: hs_phy_nondrive_finish
line	106924	544	1786905522351	5028129	crlf	D -      8526 - sbl1_hw_init
line	106925	544	1786905522351	5028159	crlf	D -        15 - boot_flash_init
line	106926	544	1786905522390	5028194	crlf	B -    291716 - SHRM Image Loaded, Start
line	106927	544	1786905522390	5028236	crlf	D -        37 - SHRM Image Loaded, Delta - (0 Bytes)
line	106928	544	1786905522390	5028290	crlf	B -    298094 - Using boot chain :: Primary
line	106929	544	1786905522390	5028335	crlf	D -      4693 - sbl1_update_partition_ids
line	106930	544	1786905522390	5028378	crlf	D -      1210 - Auth Metadata
line	106931	544	1786905522390	5028409	crlf	D -      7882 - sbl1_xblconfig_init
line	106932	544	1786905522390	5028446	crlf	D -       441 - sbl1_feature_config_init
line	106933	544	1786905522390	5028488	crlf	D -         3 - boot_config_data_table_default_init
line	106934	544	1786905522390	5028541	crlf	D -        17 - sbl1_ddr_set_default_params
line	106935	544	1786905522390	5028586	crlf	D -      4134 - boot_config_data_table_init
line	106936	544	1786905522429	5028633	crlf	B -    327603 - CDT Version:3,Platform ID:32,Major ID:1,Minor ID:0,Subtype:1
line	106937	544	1786905522429	5028711	crlf	D -      9482 - sbl1_hw_platform_pre_ddr
line	106938	544	1786905522470	5028755	crlf	D -      5127 - devcfg init
line	106939	544	1786905522508	5028786	crlf	B -    405580 - PM: PSI: b0x00_v0x14
line	106940	544	1786905522546	5028826	crlf	B -    409122 - PM: Device Init # SPMI Transn: 4094
line	106941	544	1786905522546	5028879	crlf	B -    412330 - PM: Driver Init # SPMI Transn: 237
line	106942	544	1786905522546	5028931	crlf	B -    413794 - PM: CHG Init # SPMI Transn: 4335
line	106943	544	1786905522546	5028981	crlf	D -     74835 - pmic XBL init
line	106944	544	1786905522546	5029012	crlf	D -     10402 - vsense_railway_cpr init
line	106945	544	1786905522546	5029053	crlf	D -     94917 - sbl1_hw_pre_ddr_init
line	106946	544	1786905522546	5029091	crlf	D -         3 - boot_dload_handle_forced_dload_timeout
line	106947	544	1786905522546	5029147	crlf	D -      2727 - sbl1_load_ddr_training_data
line	106948	544	1786905522546	5029192	crlf	D -      4974 - sbl1_ddr_set_params
line	106949	544	1786905522546	5029229	crlf	B -    452029 - DSF version = 20.0, DSF RPM version = 11.0
line	106950	544	1786905522881	5029291	crlf	B -    45206
line	106951	544	1786905522918	5029336	crlf	D -      2767 - STI Image Loaded, Delta - (0 Bytes)
line	106952	544	1786905522918	5029389	crlf	B -    796875 - APPSBL_DTB Image Loaded, Start
line	106953	544	1786905522918	5029437	crlf	D -       653 - Auth Metadata
line	106954	544	1786905522918	5029468	crlf	D -       502 - Segments hash check
line	106955	544	1786905522918	5029505	crlf	D -     10151 - APPSBL_DTB Image Loaded, Delta - (81252 Bytes)
line	106956	544	1786905522918	5029569	crlf	B -    812656 - APPSBL Image Loaded, Start
line	106957	544	1786905522918	5029613	crlf	D -       663 - Auth Metadata
line	106958	544	1786905522957	5029646	crlf	D -     15629 - Segments hash check
line	106959	544	1786905522957	5029683	crlf	D -     40591 - APPSBL Image Loaded, Delta - (4133024 Bytes)
line	106960	544	1786905522957	5029745	crlf	D -         5 - sbl1_appsbl_arch_determination
line	106961	544	1786905522957	5029793	crlf	B -    862459 - SBL1, End
line	106962	544	1786905522957	5029820	crlf	D -    730928 - SBL1, Delta
line	106963	544	1786905522957	5029849	crlf	S - Flash Throughput, 80000 KB/s  (9454564 Bytes,  117773 us)
line	106964	544	1786905522957	5029912	crlf	S - DDR Frequency, 1804 MHz
line	106965	544	1786905523023	5029943	crlf	0       0.943281 FF-A: SPMC not present
line	106966	544	1786905523060	5029986	crlf	0       0.943426 Hypervisor cold boot, version: gunyah-mobile-e173f3364 prod (2026-03-13 03:42:43 UTC)
line	106967	544	1786905523060	5030090	crlf	0       0.958145 hyp_devcfg_smmu_s2_fault_handling_config:2454: No property found
line	106968	544	1786905523101	5030175	crlf	0       0.982802 Failed to register KP
line	106969	544	1786905523101	5030215	crlf	
line	106970	544	1786905523101	5030217	crlf	0       0.991084 No LCP regions for Hypervisor
line	106971	544	1786905523139	5030267	crlf	[RM]Resource Manager version: 5c64a775 (Mon Feb 23 04:23:30 2026 UTC)
line	106972	544	1786905523139	5030338	crlf	[RM]Init completed, disabling UART
line	106973	544	1786905523139	5030374	crlf	0       1.025169 Hypervisor UART is disabled!
line	106974	544	1786905523139	5030421	crlf	
line	106975	544	1786905523139	5030423	crlf	
line	106976	544	1786905523139	5030425	crlf	
line	106977	544	1786905523139	5030427	crlf	UEFI Start     [ 1030]
line	106978	544	1786905523177	5030453	crlf	 - 0x05F801000 [ 1035] Sec.efi
line	106979	544	1786905523177	5030485	crlf	ASLR        : ON
line	106980	544	1786905523177	5030503	crlf	DEP         : ON (RTB)
line	106981	544	1786905523177	5030527	crlf	Timer Delta : +5 mS
line	106982	544	1786905523177	5030548	crlf	RAM Entry 0 : Base 0x0040000000  Size 0x0021800000
line	106983	544	1786905523261	5030602	crlf	RAM Entry 1 : Base 0x0063900000  Size 0x00190FF000
line	106984	544	1786905523261	5030654	crlf	RAM Entry 2 : Base 0x0080000000  Size 0x0040000000
line	106985	544	1786905523299	5030708	crlf	Total Available RAM : 1960 MB (0x007A8FF000)
line	106986	544	1786905523299	5030754	crlf	Total Installed RAM : 2048 MB (0x0080000000)
line	106987	544	1786905523299	5030800	crlf	UEFI LOG buffer not registered for minidump
line	106988	544	1786905523299	5030845	crlf	Multithread   : ON (Lib ver 1.2)
line	106989	544	1786905523299	5030879	crlf	Init Cores   : 2
line	106990	544	1786905523299	5030897	crlf	Init CPU core 1
