#boots	id	seq	opened_by	opened_at	opened_offset	bytes	closed_at
boot	473	473	power	1786889601328	4375012	23399	1786890396811
boot	474	474	session	1786890396811	4398602	0	1786891749016
boot	475	475	session	1786891749016	4398602	0	1786894145907
boot	476	476	session	1786894145907	4398602	0	1786894207026
boot	477	477	session	1786894207026	4398602	0	1786895260543
#lines	id	boot_id	ts_wall	stream_offset	terminator	text
line	91428	473	1786889585855	4378067	crlf	D -         1 - boot_apt_test
line	91429	473	1786889585855	4378098	crlf	B -    587452 - OEM_MISC Image Loaded, Start
line	91430	473	1786889585855	4378144	crlf	D -       683 - Auth Metadata
line	91431	473	1786889585855	4378175	crlf	D -       228 - Segments hash check
line	91432	473	1786889585855	4378212	crlf	D -      7136 - OEM_MISC Image Loaded, Delta - (7480 Bytes)
line	91433	473	1786889585855	4378273	crlf	B -    600225 - QTI_MISC Image Loaded, Start
line	91434	473	1786889585855	4378319	crlf	D -      2892 - QTI_MISC Image Loaded, Delta - (0 Bytes)
line	91435	473	1786889585855	4378377	crlf	B -    609175 - PM: PM Total Mem Allocated: 1249 
line	91436	473	1786889585855	4378428	crlf	D -      5044 - sbl1_pm_aop_pre_init_wrapper
line	91437	473	1786889585855	4378474	crlf	B -    616607 - RPM Image Loaded, Start
line	91438	473	1786889585855	4378515	crlf	D -       789 - Auth Metadata
line	91439	473	1786889585855	4378546	crlf	D -      1338 - Segments hash check
line	91440	473	1786889585855	4378583	crlf	D -     13978 - RPM Image Loaded, Delta - (220608 Bytes)
line	91441	473	1786889585890	4378643	crlf	B -    633817 - QSEE Dev Config Image Loaded, Start
line	91442	473	1786889585922	4378698	crlf	D -       875 - Auth Metadata
line	91443	473	1786889585922	4378729	crlf	D -       528 - Segments hash check
line	91444	473	1786889585922	4378766	crlf	D -     13140 - QSEE Dev Config Image Loaded, Delta - (45320 Bytes)
line	91445	473	1786889585922	4378835	crlf	B -    655731 - QSEE Image Loaded, Start
line	91446	473	1786889585922	4378877	crlf	D -     17655 - Auth Metadata
line	91447	473	1786889585965	4378910	crlf	D -     16384 - Segments hash check
line	91448	473	1786889585996	4378949	crlf	D -     88551 - QSEE Image Loaded, Delta - (3437540 Bytes)
line	91449	473	1786889585996	4379009	crlf	D -        47 - sbl1_hw_play_vibr
line	91450	473	1786889585996	4379044	crlf	B -    755149 - SEC Image Loaded, Start
line	91451	473	1786889585996	4379085	crlf	D -       625 - SEC Image Loaded, Delta - (0 Bytes)
line	91452	473	1786889586029	4379140	crlf	B -    759348 - QHEE Image Loaded, Start
line	91453	473	1786889586029	4379182	crlf	D -       863 - Auth Metadata
line	91454	473	1786889586060	4379215	crlf	D -      5959 - Segments hash check
line	91455	473	1786889586060	4379252	crlf	D -     22988 - QHEE Image Loaded, Delta - (1495512 Bytes)
line	91456	473	1786889586060	4379312	crlf	B -    788016 - STI Image Loaded, Start
line	91457	473	1786889586060	4379353	crlf	D -      2761 - STI Image Loaded, Delta - (0 Bytes)
line	91458	473	1786889586060	4379406	crlf	B -    796752 - APPSBL_DTB Image Loaded, Start
line	91459	473	1786889586060	4379454	crlf	D -       699 - Auth Metadata
line	91460	473	1786889586060	4379485	crlf	D -       482 - Segments hash check
line	91461	473	1786889586060	4379522	crlf	D -     10129 - APPSBL_DTB Image Loaded, Delta - (81252 Bytes)
line	91462	473	1786889586060	4379586	crlf	B -    812510 - APPSBL Image Loaded, Start
line	91463	473	1786889586060	4379630	crlf	D -       680 - Auth Metadata
line	91464	473	1786889586093	4379663	crlf	D -     15679 - Segments hash check
line	91465	473	1786889586125	4379702	crlf	D -     40641 - APPSBL Image Loaded, Delta - (4133024 Bytes)
line	91466	473	1786889586125	4379764	crlf	D -         5 - sbl1_appsbl_arch_determination
line	91467	473	1786889586125	4379812	crlf	B -    862361 - SBL1, End
line	91468	473	1786889586125	4379839	crlf	D -    730837 - SBL1, Delta
line	91469	473	1786889586125	4379868	crlf	S - Flash Throughput, 80000 KB/s  (9454564 Bytes,  117781 us)
line	91470	473	1786889586125	4379931	crlf	S - DDR Frequency, 1804 MHz
line	91471	473	1786889586161	4379962	crlf	0       0.943095 FF-A: SPMC not present
line	91472	473	1786889586204	4380005	crlf	0       0.943241 Hypervisor cold boot, version: gunyah-mobile-e173f3364 prod (2026-03-13 03:42:43 UTC)
line	91473	473	1786889586204	4380109	crlf	0       0.957962 hyp_devcfg_smmu_s2_fault_handling_config:2454: No property found
line	91474	473	1786889586236	4380194	crlf	0       0.982658 Failed to register KP
line	91475	473	1786889586236	4380234	crlf	
line	91476	473	1786889586268	4380238	crlf	0       0.990964 No LCP regions for Hypervisor
line	91477	473	1786889586268	4380286	crlf	[RM]Resource Manager version: 5c64a775 (Mon Feb 23 04:23:30 2026 UTC)
line	91478	473	1786889586268	4380357	crlf	[RM]Init completed, disabling UART
line	91479	473	1786889586268	4380393	crlf	0       1.025089 Hypervisor UART is disabled!
line	91480	473	1786889586268	4380440	crlf	
line	91481	473	1786889586268	4380442	crlf	
line	91482	473	1786889586268	4380444	crlf	
line	91483	473	1786889586268	4380446	crlf	UEFI Start     [ 1030]
line	91484	473	1786889586301	4380472	crlf	 - 0x05F801000 [ 1035] Sec.efi
line	91485	473	1786889586333	4380506	crlf	ASLR        : ON
line	91486	473	1786889586333	4380524	crlf	DEP         : ON (RTB)
line	91487	473	1786889586333	4380548	crlf	Timer Delta : +5 mS
line	91488	473	1786889586333	4380569	crlf	RAM Entry 0 : Base 0x0040000000  Size 0x0021800000
line	91489	473	1786889586398	4380623	crlf	RAM Entry 1 : Base 0x0063900000  Size 0x00190FF000
line	91490	473	1786889586398	4380675	crlf	RAM Entry 2 : Base 0x0080000000  Size 0x0040000000
line	91491	473	1786889586429	4380729	crlf	Total Available RAM : 1960 MB (0x007A8FF000)
line	91492	473	1786889586429	4380775	crlf	Total Installed RAM : 2048 MB (0x0080000000)
line	91493	473	1786889586429	4380821	crlf	UEFI LOG buffer not registered for minidump
line	91494	473	1786889586429	4380866	crlf	Multithread   : ON (Lib ver 1.2)
line	91495	473	1786889586429	4380900	crlf	Init Cores   : 2
line	91496	473	1786889586462	4380920	crlf	Init CPU core 1
line	91497	473	1786889586462	4380937	crlf	TzFastcall() failed for TZ_IO_ACCESS_WRITE_ID, Status = (0x7)
line	91498	473	1786889586462	4381000	crlf	ERROR: Failed to set DLOAD cookie
line	91499	473	1786889586462	4381035	crlf	CONF File   : uefiplatLA.cfg
line	91500	473	1786889586462	4381065	crlf	UEFI Ver    : 6.0.260212.BOOT.MXF.1.0.c1-00460-KODIAKLA-1
line	91501	473	1786889586462	4381124	crlf	Build Info  : 64b Feb 12 2026 16:55:36
line	91502	473	1786889586462	4381164	crlf	Boot Device : eMMC
line	91503	473	1786889586495	4381186	crlf	PROD Mode   : FALSE
line	91504	473	1786889586495	4381207	crlf	Retail      : FALSE
line	91505	473	1786889586495	4381228	crlf	
line	91506	473	1786889586495	4381230	crlf	DTB config    : client[0]..trace[0]..verbose[0]
line	91507	473	1786889586495	4381279	crlf	 - 0x05A6CB000 [ 1155] DxeCore.efi
line	91508	473	1786889586495	4381315	crlf	Loading DxeCore at 0x005A6CB000 EntryPoint=0x005A6CC000
line	91509	473	1786889586566	4381374	crlf	HOBLIST address in DXE = 0x5A4BB018
line	91510	473	1786889586566	4381411	crlf	FV Hob            0x5F800000 - 0x5FBEFFFF
line	91511	473	1786889586598	4381456	crlf	FV Hob            0x5A6FF000 - 0x5AA43FFF
line	91512	473	1786889586598	4381499	crlf	FV2 Hob           0x5A6FF000 - 0x5AA43FFF
line	91513	473	1786889586598	4381542	crlf	                  631008B0-B2D1-410A-8B49-2C5C4D8ECC7E - 00000000-0000-0000-0000-000000000000
line	91514	473	1786889586631	4381639	crlf	 - 0x05A647000 [ 1158] PcdDxe.efi
line	91515	473	1786889586631	4381674	crlf	 - 0x05A664000 [ 1159] EnvDxe.efi
line	91516	473	1786889586631	4381709	crlf	 - 0x05A65B000 [ 1159] RscRtDxe.efi
line	91517	473	1786889586631	4381746	crlf	 - 0x05A653000 [ 1159] SCHandlerRtDxe.efi
